Fecha,Obrador Kiteni,PS#1,KP 007+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 184+039,PS#3,PS#4/XV10007,Mes,KP 127+000,KP 181+900,KP 142+000,Ruptura
2023-03-03,5.08,0.4,0.0,0.0,0.0,0.0,0,0.0,5.0,6.3,0.0,8.0,3.2,0.0,0.0,20.0,0,0.0,0.0,2023-03,0.0,,,0
2023-03-04,0.0,23.7,59.0,7.5,31.0,0.0,0,11.0,10.0,8.2,15.4,5.0,1.8,0.0,0.0,6.4,0,0.0,0.0,2023-03,0.0,,,0
2023-03-05,2.54,0.0,7.3,0.0,0.0,0.0,0,4.0,20.0,28.2,10.0,7.0,3.2,0.0,0.0,37.4,0,8.6,10.0,2023-03,0.0,,,0
2023-03-06,22.86,17.8,60.2,24.5,19.2,16.9,0,18.0,17.0,13.6,15.0,25.0,22.8,0.0,0.0,16.5,0,4.3,5.0,2023-03,0.0,,,0
2023-03-07,0.0,0.2,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-03,0.0,,,0
2023-03-08,0.0,0.0,0.0,0.0,0.0,2.0,0,3.0,20.0,28.0,28.0,25.5,8.0,0.0,0.0,2.2,0,0.0,0.0,2023-03,0.0,,,0
2023-03-09,0.0,5.4,0.0,17.4,7.0,18.4,0,0.0,0.0,4.2,0.0,3.0,0.0,0.0,0.0,3.0,0,0.0,0.0,2023-03,0.0,,,0
2023-03-10,27.94,29.200000000000003,20.2,24.5,37.2,37.0,0,35.0,25.0,24.2,22.0,33.0,60.8,0.0,0.0,13.8,0,2.54,3.5,2023-03,0.0,,,0
2023-03-11,0.0,55.3,21.3,14.5,19.2,4.4,0,0.0,0.0,4.3,5.0,4.0,4.0,0.0,0.0,4.0,0,21.3,25.0,2023-03,0.0,,,0
2023-03-12,7.62,4.3,0.0,3.0,9.2,41.5,0,70.0,75.0,28.3,24.0,5.0,0.0,0.0,0.0,8.8,0,9.4,11.0,2023-03,0.0,,,0
2023-03-13,2.54,56.1,26.7,18.5,55.1,24.9,0,18.3,10.0,18.2,6.0,0.0,0.0,0.0,0.0,12.2,0,16.5,18.0,2023-03,0.0,,,0
2023-03-14,0.0,2.8,9.5,14.0,11.1,18.4,0,62.0,44.0,32.6,60.0,47.0,5.1,0.0,0.0,0.2,0,2.79,5.0,2023-03,0.0,,,0
2023-03-15,12.7,0.4,0.0,9.0,2.0,7.2,0,10.0,20.0,16.6,22.0,13.0,20.4,0.0,0.0,25.2,0,8.13,11.0,2023-03,0.0,,,0
2023-03-16,10.16,4.7,7.3,17.0,10.0,24.2,0,8.0,1.1,34.0,24.0,12.0,12.5,0.0,0.0,16.4,0,0.0,0.0,2023-03,0.0,,,0
2023-03-17,7.62,9.3,5.0,33.5,13.6,9.4,0,10.2,8.0,20.0,24.0,28.0,6.2,0.0,0.0,32.2,0,5.58,6.0,2023-03,0.0,,,0
2023-03-18,0.0,3.0,0.0,7.0,12.1,2.5,0,1.0,0.0,0.0,0.0,8.0,8.1,0.0,0.0,13.2,0,6.6,8.0,2023-03,0.0,,,0
2023-03-19,0.0,3.1,15.2,15.0,5.1,10.4,0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0,5.8,7.0,2023-03,0.0,,,0
2023-03-20,7.62,1.3,0.0,3.0,44.3,18.2,0,9.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,29.0,0,2.79,6.0,2023-03,0.0,,,0
2023-03-21,12.0,0.2,0.0,6.0,1.3,2.5,0,2.3,0.0,5.0,10.0,8.0,2.3,0.0,0.0,18.6,0,10.2,12.0,2023-03,0.0,,,0
2023-03-22,4.0,0.1,2.0,11.0,4.1,12.2,0,29.0,42.0,52.0,28.0,16.2,4.2,0.0,0.0,12.4,0,0.0,0.0,2023-03,0.0,,,0
2023-03-23,5.0,20.5,35.0,41.5,20.4,25.7,0,36.0,35.0,25.0,12.8,17.799999999999997,7.199999999999999,0.0,0.0,11.5,0,0.0,0.0,2023-03,0.0,,,0
2023-03-24,2.4,29.4,30.0,18.0,4.7,36.0,0,35.0,50.0,36.0,20.0,16.2,6.4,0.0,0.0,10.5,0,24.8,26.0,2023-03,0.0,,,0
2023-03-25,0.30000000000000004,14.600000000000001,27.5,23.5,7.199999999999999,19.5,0,15.0,20.0,42.0,20.0,11.2,2.0,0.0,0.0,3.2,0,34.0,36.2,2023-03,0.0,,,0
2023-03-26,0.0,0.1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0,20.8,24.0,2023-03,0.0,,,0
2023-03-27,0.0,0.4,4.5,3.8,4.0,29.5,0,51.0,60.0,93.0,25.0,87.0,10.1,0.0,0.0,22.0,0,10.7,10.0,2023-03,0.0,,,0
2023-03-28,0.0,25.5,27.0,12.0,34.4,66.5,0,51.0,54.0,29.0,14.6,0.0,0.0,0.0,0.0,11.200000000000001,0,0.0,0.0,2023-03,0.0,,,0
2023-03-29,0.2,12.100000000000001,6.0,4.0,10.0,9.0,0,1.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,55.6,0,1.8,2.0,2023-03,0.0,,,0
2023-03-30,2.0,0.3,4.0,0.0,0.0,0.0,0,24.0,10.0,36.8,2.4,0.0,0.0,0.0,0.0,17.2,0,6.4,8.0,2023-03,0.0,,,0
2023-03-31,1.5,50.300000000000004,8.0,0.0,0.0,9.0,0,10.0,24.0,8.0,0.0,0.0,10.1,0.0,0.0,17.8,0,0.0,0.0,2023-03,0.0,,,0
2023-04-01,1.7,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,25.0,0.0,0.0,0.0,0.0,0.0,0.6000000000000001,0,0.0,0.0,2023-04,0.0,,,0
2023-04-02,0.0,0.0,2.0,0.0,0.0,10.0,0,3.4000000000000004,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-03,2.3,0.0,0.0,0.0,0.0,2.0,0,4.4,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.2,0,2.5,0.8,2023-04,0.0,,,0
2023-04-04,2.0,72.3,38.2,50.0,77.4,31.0,0,37.0,34.0,32.5,13.8,2.0,0.0,0.0,0.0,17.2,0,0.0,0.0,2023-04,0.0,,,0
2023-04-05,3.1,92.60000000000001,27.700000000000003,21.0,58.0,96.0,0,86.0,55.8,46.5,79.2,17.2,27.0,0.0,0.0,32.0,0,9.1,12.2,2023-04,0.0,,,0
2023-04-06,0.0,3.3000000000000003,0.0,0.0,0.0,8.0,0,8.0,8.2,14.5,2.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-07,4.2,139.1,98.2,91.0,87.60000000000001,47.0,0,88.0,55.0,90.0,25.0,12.0,12.0,0.0,0.0,12.4,0,25.0,25.0,2023-04,0.0,,,0
2023-04-08,0.1,7.0,6.8,9.0,0.0,2.0,0,4.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,1.4,0,7.0,5.0,2023-04,0.0,,,0
2023-04-09,0.0,2.1,1.7,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-10,0.1,0.0,0.0,0.0,0.0,3.0,0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0,0.0,0.0,2023-04,0.0,,,0
2023-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-12,25.4,0.0,0.0,0.0,10.4,0.0,0,7.0,12.0,32.0,17.0,6.3,3.6,0.0,0.0,30.4,0,0.76,1.0,2023-04,0.0,,,0
2023-04-13,11.16,3.2,6.3,29.0,30.4,72.0,0,65.0,59.0,62.0,93.0,99.0,24.8,0.0,0.0,8.1,0,0.0,0.0,2023-04,0.0,,,0
2023-04-14,1.0,0.0,0.0,0.0,5.2,36.0,0,51.0,56.0,27.2,15.0,12.4,6.8,0.0,0.0,2.1,0,5.6,6.0,2023-04,0.0,,,0
2023-04-15,0.0,0.0,3.2,0.0,0.0,28.0,0,20.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-16,0.0,1.0,2.0,0.0,8.4,4.4,0,19.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.6,6.0,2023-04,0.0,,,0
2023-04-17,0.0,4.0,10.5,9.5,3.4,26.6,0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0,1.3,2.0,2023-04,0.0,,,0
2023-04-18,0.0,9.799999999999999,22.0,40.0,23.2,29.3,0,52.0,41.3,45.0,18.0,18.2,10.4,0.0,0.0,4.6,0,28.0,24.0,2023-04,0.0,,,0
2023-04-19,0.0,4.2,8.0,4.0,6.2,3.0,0,1.0,6.0,12.2,3.0,0.0,4.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-20,0.0,6.199999999999999,2.0,2.0,10.7,12.2,0,51.0,36.3,53.3,28.0,33.6,18.8,0.0,0.0,5.4,0,0.0,0.0,2023-04,0.0,,,0
2023-04-21,1.0,51.1,16.0,29.0,45.0,10.5,0,51.0,30.3,54.2,30.0,4.4,20.8,0.0,0.0,14.6,0,33.8,38.8,2023-04,0.0,,,0
2023-04-22,0.0,0.0,0.0,0.0,0.0,4.4,0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,3.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-23,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-24,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,3.0,2023-04,0.0,,,0
2023-04-25,0.0,0.0,1.0,0.0,0.0,3.3,0,1.2,1.0,2.1,11.2,2.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-26,0.0,0.0,2.0,0.0,2.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-27,0.0,11.2,4.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-28,0.0,29.0,6.0,7.0,4.0,2.0,0,12.0,23.0,26.3,2.4,2.0,0.0,0.0,0.0,1.9,0,0.0,0.0,2023-04,0.0,,,0
2023-04-29,0.0,6.7,10.0,33.0,8.0,4.2,0,8.5,2.3,3.2,8.0,5.0,2.4,0.0,0.0,1.0,0,0.0,0.0,2023-04,0.0,,,0
2023-04-30,0.0,1.1,4.0,2.0,0.0,1.6,0,6.0,14.0,42.7,21.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-04,0.0,,,0
2023-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2023-05,0.0,,,0
2023-05-01,0.0,35.1,12.0,28.0,4.0,19.4,0,62.5,87.4,41.599999999999994,1.5,5.0,4.2,0.0,0.0,0.0,0,0.0,0.0,2023-05,,,,0
2023-05-02,0.0,18.1,22.0,29.0,31.0,42.2,0,59.5,32.8,12.600000000000001,7.8,12.0,1.4,0.0,0.0,0.0,0,0.0,0.0,2023-05,,,,0
