Fecha,Obrador Kiteni,PS#1,KP-7+400,KP 018+000,KP 030+000,KP 040+000,KP 043+600,KP 046+100,KP 050+000,KP 057+000,KP 064+000,KP 071+000,KP 082+000,KP 090+000,KP 095+000,PS#2,KP 142+000,KP-181+900,KP 184+039,PS#3,PS#4/XV10007,Mes,Ruptura
2021-02-26,0.0,27.2,43.0,86.4,1.6,0.0,1.2,0.0,0.3,6.5,0.0,1.0,3.0,0.0,0.0,0.0,58.6,2.4,0.0,0.0,0.0,2021-02,0
2021-02-27,0.0,106.2,70.0,50.4,38.0,70.0,58.0,63.2,49.400000000000006,28.5,0.0,25.0,15.0,0.0,21.0,19.4,63.7,10.6,0.0,12.8,8.2,2021-02,0
2021-02-28,0.0,0.6,1.0,0.0,0.0,0.0,0.8,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,2.0,0.1,18.8,0.0,12.6,11.2,2021-02,0
2021-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-03,0
2021-04-01,0.0,11.600000000000001,0.0,0.0,0.3,1.0,0.4,0.0,3.4,8.2,51.0,5.5,6.8,4.5,4.2,8.0,19.2,18.6,0.0,18.2,12.0,2021-04,0
2021-04-02,0.0,0.0,3.2,0.0,33.6,14.0,6.7,36.0,3.5,8.2,0.3,0.0,9.0,5.0,0.0,0.2,0.0,18.2,0.0,12.2,2.6,2021-04,0
2021-04-03,0.0,10.399999999999999,3.4,8.0,11.8,30.0,41.5,47.4,28.0,24.0,36.3,10.399999999999999,0.4,11.0,2.2,17.2,22.2,14.2,0.0,4.2,2.0,2021-04,0
2021-04-04,0.0,8.8,4.3,4.0,4.6,4.0,4.8,8.2,6.0,26.2,31.0,26.400000000000002,26.0,7.0,6.2,18.599999999999998,6.2,38.8,0.0,46.0,18.6,2021-04,0
2021-04-05,0.0,0.0,3.0,6.0,4.8,1.0,0.4,10.0,13.3,25.0,36.0,9.5,5.0,1.2,0.0,1.2000000000000002,6.0,2.0,0.0,6.8,4.6,2021-04,0
2021-04-06,0.0,0.0,8.2,24.2,24.0,62.0,80.60000000000001,114.0,108.2,29.4,52.0,27.0,11.0,4.0,3.8,21.2,1.4,26.799999999999997,0.0,30.8,21.0,2021-04,0
2021-04-07,0.0,4.0,0.0,0.0,0.6,8.0,7.8,5.6,0.3,24.4,1.0,0.0,0.2,12.0,0.0,3.6,3.0,26.2,0.0,27.400000000000002,19.400000000000002,2021-04,0
2021-04-08,0.0,0.0,4.2,79.1,23.0,8.0,27.0,67.0,18.3,5.0,2.7,8.5,0.1,0.0,0.0,1.0,0.0,12.8,0.0,8.8,6.6,2021-04,0
2021-04-09,0.0,73.0,58.400000000000006,30.0,26.0,72.3,94.80000000000001,68.6,103.2,144.0,66.5,40.2,25.0,13.0,38.8,26.4,19.0,26.8,0.0,20.8,23.0,2021-04,0
2021-04-10,0.0,16.6,52.4,85.1,12.4,13.0,22.0,84.0,104.3,25.0,21.6,20.400000000000002,22.1,20.0,20.5,15.799999999999999,12.0,12.6,0.0,18.2,16.0,2021-04,0
2021-04-11,0.0,0.1,1.2,1.2,4.800000000000001,17.0,23.1,58.0,97.0,50.0,36.0,35.0,22.6,20.0,7.0,8.0,6.0,34.2,0.0,28.2,23.4,2021-04,0
2021-04-12,0.0,0.0,0.0,0.0,0.4,30.0,40.8,13.4,4.5,6.0,7.199999999999999,1.0,12.1,4.0,1.8,0.4,0.0,30.6,0.0,16.8,18.8,2021-04,0
2021-04-13,0.0,5.8,7.4,7.8,25.9,24.0,13.4,37.0,62.2,55.0,58.0,51.0,35.0,20.0,14.0,4.5,5.0,19.6,0.0,29.0,26.4,2021-04,0
2021-04-14,0.0,0.0,0.0,2.2,2.3,6.0,7.8,9.0,7.2,20.0,36.8,39.0,18.6,25.0,11.8,8.2,22.0,19.0,0.0,28.2,10.8,2021-04,0
2021-04-15,0.0,0.0,0.0,0.0,3.2,5.4,6.0,4.2,3.5,10.0,16.0,7.199999999999999,2.8,0.0,3.3,4.2,4.0,15.0,0.0,16.2,6.2,2021-04,0
2021-04-16,0.0,0.0,0.0,0.0,8.399999999999999,8.4,6.0,9.0,3.4000000000000004,0.0,0.3,0.0,2.5999999999999996,0.0,0.0,0.0,0.0,10.6,0.0,0.0,2.0,2021-04,0
2021-04-17,0.0,19.8,11.2,11.8,25.5,39.5,24.1,35.0,36.4,16.0,16.5,17.8,4.5,0.0,0.0,0.0,24.0,2.6,0.0,0.0,0.0,2021-04,0
2021-04-18,0.0,4.0,7.2,0.0,3.2,13.6,1.2,1.3,5.6000000000000005,19.0,12.0,13.8,7.5,0.0,3.0,9.8,3.0,0.0,0.0,2.0,2.0,2021-04,0
2021-04-19,0.0,12.0,6.4,25.2,24.9,24.0,22.0,14.9,14.4,51.0,5.1,5.2,2.9,0.0,0.0,0.0,2.0,22.2,0.0,0.0,2.6,2021-04,0
2021-04-20,0.0,8.0,32.4,51.0,123.8,24.9,65.2,58.3,114.0,60.0,155.0,61.8,49.0,21.0,13.2,27.0,50.0,26.8,0.0,6.2,2.0,2021-04,0
2021-04-21,0.0,27.0,18.0,16.8,17.0,14.4,17.0,16.3,19.0,17.0,9.0,10.4,9.0,8.8,9.0,13.0,15.0,12.8,0.0,2.6,4.0,2021-04,0
2021-04-22,0.0,0.8,11.2,0.8,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3,0.2,0.0,0.0,0.0,6.2,0.0,0.0,2.0,2021-04,0
2021-04-23,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,40.2,86.0,14.0,4.6,0.3,20.0,23.0,1.6,0.0,2.8,0.0,0.0,2.0,2021-04,0
2021-04-24,0.0,6.0,1.3,7.2,4.6,6.5,2.4,19.2,6.0,9.0,0.0,0.0,3.6,11.0,14.2,2.8,8.0,16.2,0.0,10.0,2.0,2021-04,0
2021-04-25,0.0,2.0,0.4,0.0,7.2,15.8,20.4,25.0,29.0,22.0,26.0,20.6,47.5,10.0,7.3,19.2,9.0,0.0,0.0,2.0,0.0,2021-04,0
2021-04-26,0.0,106.0,100.4,63.8,5.0,45.7,43.6,47.699999999999996,53.0,80.0,43.3,12.4,4.6,6.0,9.4,28.6,29.0,20.8,0.0,16.2,8.0,2021-04,0
2021-04-27,0.0,1.2,1.8,4.8,4.2,4.7,2.3,15.8,10.2,10.0,2.8,3.0,2.3,2.0,1.0,12.4,6.7,0.0,0.0,2.0,2.0,2021-04,0
2021-04-28,0.0,0.0,0.0,0.0,0.2,0.0,2.8,2.4,6.0,4.2,1.4,0.0,2.3,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,2021-04,0
